id,medal_color,year,discipline
1273316241,bronze,1992,Team pursuit
1331431026,silver,2020,Team competition
1327306225,silver,2008,K-2 1000 m
1317632620,silver,1964,Individual road race
1272848864,bronze,1948,Dragon class
1319923921,bronze,1992,Team pursuit
1304706896,bronze,1948,Team competition
1304706907,bronze,1948,Team competition
1279451234,silver,1924,6 metre class
1327307195,silver,1906,Team competition
1306017312,silver,1920,"Team, swedish system"
1325460099,bronze,1948,Team competition
1327307674,gold,1920,"Team, free system"
1306018384,silver,1912,"Team, swedish system"
1306016652,silver,1920,"Team, swedish system"
1306017412,silver,1920,"Team, swedish system"
1306017745,silver,1920,"Team, swedish system"
1329369052,silver,1908,Team competition
1327307559,bronze,1912,"Team, free system"
1327307559,silver,1906,Team competition
1332302310,bronze,2024,Team competition
1331383520,gold,1996,Team competition
1331383520,gold,2004,Team competition
1270835263,gold,1996,Europe class
1328362199,gold,1964,Coxless four
1302757273,gold,1900,Standing military rifle
1302757273,gold,1920,Team 300 m military
1302757273,silver,1912,300 m free rifle
1302757273,silver,1920,300 m military rifle
1302757273,bronze,1912,Team free rifle
1327304861,bronze,1984,Coxless four
1326877496,gold,2024,Team competition
1326877496,silver,2020,Team competition
1331114592,gold,2012,Omnium
1331114592,gold,2020,Madison
1331114592,silver,2020,Team pursuit
1331114592,bronze,2016,Team pursuit
1331114592,bronze,2016,Omnium
1326877798,gold,2016,Team competition
1326877798,silver,2020,Team competition
1286866227,bronze,1912,Team free rifle
1323148281,silver,1968,Road race
1331384898,gold,1996,Team competition
1331384898,gold,2000,Team competition
1276413077,gold,1928,Team road race
1276413077,silver,1932,Team road race
1319696339,bronze,1948,Javelin throw
1331383833,gold,2004,Team competition
1332302283,bronze,2024,Team competition
1287391137,silver,1952,Individual dressage
1287391137,silver,1956,Individual dressage
1331115103,bronze,2008,800 m freestyle
1331384383,gold,2004,Team competition
1331384383,gold,2000,Team competition
1270329159,bronze,1984,Coxed quad sculls
1327307267,silver,1906,Team competition
1331383576,gold,2004,Team competition
1331383780,bronze,2024,Team competition
1304706938,silver,1908,100 m backstroke
1324902050,silver,1908,Team competition
1326877464,gold,2024,Team competition
1306017557,bronze,1912,"Team, free system"
1250991619,gold,2008,Lightweight coxless four
1316781076,gold,2016,Team competition
1326877446,gold,2016,Team competition
1326877446,silver,2020,Team competition
1331115066,gold,2012,Lightweight double sculls
1331115066,bronze,2008,Lightweight double sculls
1326877330,gold,2024,Team competition
1326877330,silver,2020,Team competition
1326877383,gold,2024,Team competition
1326877383,silver,2020,Team competition
1331384028,gold,2000,Team competition
1332288433,silver,1998,Team competition
1331383957,gold,1996,Team competition
1332192667,silver,1912,"Team, swedish system"
1306018323,silver,1906,Team competition
1306018381,silver,1906,Team competition
1323238108,silver,2016,75 kg
1304706952,gold,2008,49er class
1329374012,silver,2012,Men's doubles
1332177799,gold,2024,Team competition
1332177799,silver,2020,Team competition
1320223276,bronze,2004,Mixed doubles
1331385101,bronze,2024,Team competition
1331385128,gold,2000,Team competition
1331385128,gold,2004,Team competition
1326877670,gold,2016,Team competition
1304706966,silver,2008,Team pursuit
1272848920,bronze,1984,Coxless four
1259430679,bronze,2004,Doubles
1316077874,bronze,1928,Heavyweight
1331010807,gold,2020,Madison
1331010807,silver,2008,Team pursuit
1331010807,bronze,2024,Madison
1276402765,bronze,1992,Team pursuit
1332302250,bronze,2024,Team competition
1331384217,bronze,2024,Team competition
1328496019,bronze,2016,4×100 m medley
1286757248,bronze,1912,Coxed four
1326877692,gold,2016,Team competition
1326877692,gold,2024,Team competition
1326877692,silver,2020,Team competition
1328171288,gold,1968,Team pursuit
1328171288,silver,1968,4000 m individual pursuit
1271958878,gold,2008,Lm4−
1271958878,silver,2016,Lm4−
1271958878,bronze,2012,Lm4−
1326877812,gold,2016,Team competition
1326877812,silver,2020,Team competition
1304707008,silver,2024,Team dressage
1330765689,gold,2024,Team competition
1282316884,bronze,1912,Team free rifle
1327306652,silver,1920,Team competition
1306017523,silver,1920,"Team, swedish system"
1306017540,silver,1920,"Team, swedish system"
1328540293,gold,1972,1 km time trial
1328540293,silver,1968,1 km time trial
1328540293,bronze,1976,1 km time trial
1270329384,gold,1996,Lightweight coxless four
1329228509,bronze,1912,"300 m free rifle, three positions"
1329228509,bronze,1912,Team free rifle
1329228509,gold,1920,"Team 300 m military rifle, standing"
1329228509,silver,1920,"300 m free rifle, three positions"
1329228509,bronze,1924,600 metre free rifle
1271916973,silver,1968,Dragon class
1279451273,silver,1928,6 metre class
1327307588,bronze,1912,"Team, free system"
1327307588,silver,1906,Team competition
1327307953,gold,1920,"Team, free system"
1326877736,gold,2016,Team competition
1326877736,gold,2024,Team competition
1326877736,silver,2020,Team competition
1319758210,silver,2020,Team pursuit
1319758210,bronze,2016,Team pursuit
1319758210,bronze,2024,Madison
1317516473,silver,1908,Team competition
1317516473,silver,1912,Team competition
1306017286,silver,1912,"Team, swedish system"
1306018075,silver,1912,"Team, swedish system"
1270329183,gold,1964,Dragon class
1270329183,silver,1956,Dragon class
1270329183,bronze,1948,Dragon class
1329517517,silver,1960,Flying dutchman
1302757666,bronze,1912,Team free rifle
1323147436,gold,1964,Dragon class
1304707055,silver,1984,Skeet
1327307534,bronze,1912,"Team, free system"
1327307534,silver,1906,Team competition
1282316903,gold,1928,Team road race
1310779833,silver,1908,Team competition
1310779833,silver,1912,Team competition
1304707061,bronze,1948,Team competition
1310779519,silver,1912,Team competition
1331797361,gold,1948,Firefly class
1331797361,gold,1952,Finn class
1331797361,gold,1956,Finn class
1331797361,gold,1960,Finn class
1304707071,silver,1968,Dragon class
1327306844,silver,1920,Team competition
1321647376,silver,1920,"Team, swedish system"
1306017892,silver,1912,"Team, swedish system"
1278040655,bronze,1900,Underwater swimming
1306017670,gold,1920,"Team, free system"
1309293030,gold,1968,Team pursuit
1327304946,bronze,1964,C-2 1000 m
1327183689,silver,1980,Tornado
1304707090,bronze,1948,Team competition
1309293067,gold,1968,Team pursuit
1275663167,bronze,1984,Coxless four
1331114734,gold,2016,50 m freestyle
1331114734,bronze,2016,4×100 m medley
1331114734,bronze,2020,50 m freestyle
1306016467,silver,1912,"Team, swedish system"
1323148546,bronze,1968,Coxless pair
1327183665,silver,1980,Tornado
1270331670,bronze,1932,Light heavyweight
1304707128,bronze,2012,49er class
1270669005,silver,1908,Team competition
1327307306,gold,1920,"Team, free system"
1293401411,silver,1928,6 metre class
1304707163,silver,1960,Team competition
1275806458,silver,1920,Heavyweight
1304707210,gold,1912,"Coxed four, inriggers"
1304707244,silver,1960,Team competition
1306016848,bronze,1912,"Team, free system"
1306017655,silver,1912,"Team, swedish system"
1325462703,silver,1960,Team competition
1305246184,silver,1912,Team competition
1285915557,silver,1960,Team competition
1320168430,bronze,1948,Team competition
1328165909,gold,1976,Soling class
1328165909,gold,1980,Soling class
1263456074,bronze,1952,Coxed pair
1286704886,bronze,1912,Men's coxed four
1301221236,gold,1996,Men's singles
1309293709,bronze,1964,Individual pursuit
1270327973,bronze,1968,Coxed pair
1321099392,bronze,2008,Team dressage
1323173998,silver,1936,400 m freestyle
1286703779,bronze,1912,Men's coxed four
1306016626,silver,1912,"Team, swedish system"
1326877358,gold,2024,Team competition
1331114509,silver,2020,Team pursuit
1257790708,bronze,2016,Team pursuit
1331114952,gold,2012,Lightweight double sculls
1331114952,bronze,2008,Lightweight double sculls
1306018156,silver,1920,"Team, swedish system"
1323147331,gold,1968,Team pursuit
1331114748,silver,2008,K-2 1000 m
1326877952,gold,2016,Team competition
1268226559,silver,1936,Coxless pair
1327307342,bronze,1912,"Team, free system"
1331384228,gold,2004,Team competition
1331384278,bronze,2024,Team competition
1282714998,bronze,2016,4×100 m medley
1331384873,gold,2000,Team competition
1331384873,gold,2004,Team competition
1331384994,gold,2004,Team competition
1327307234,gold,1920,"Team, free system"
1306017732,silver,1906,Team competition
1328932596,silver,1996,Individual road race
1327306912,gold,1920,"Team, free system"
1331385093,bronze,2024,Team competition
1319708526,silver,2016,400 m hurdles
1331384285,bronze,2024,Team competition
1304707423,bronze,2004,Europe class
1326877522,gold,2024,Team competition
1328423479,gold,2024,Team competition
1199392751,silver,1912,Indoor singles
1310779394,silver,1912,Team competition
1315430390,silver,1908,Team competition
1315430390,silver,1912,Team competition
1272848868,silver,1960,5.5 metre
1327306812,silver,1920,Team competition
1279444691,silver,1912,6 metre class
1327307481,gold,1920,"Team, free system"
1327307481,bronze,1912,"Team, free system"
1331114135,gold,1992,Soling class
1331114135,bronze,1988,Soling class
1286001729,gold,1906,Team competition
1260928369,gold,1920,10 metre platform
1241122372,gold,2004,Lightweight coxless four
1327302328,gold,1920,"Team, free system"
1331385163,gold,1996,Team competition
1308891371,bronze,1980,100 m breaststroke
1279444699,silver,1912,6 metre class
1306017713,gold,1920,"Team, free system"
1329562355,silver,1932,-82.5 kg
1260907016,bronze,1952,Coxed pair
1275806210,bronze,1948,Lightweight
1306017088,silver,1912,"Team, swedish system"
1272848143,silver,1960,5.5 metre
1270728629,bronze,2000,Lightweight coxless four
1276607009,bronze,1908,Super heavyweight
1276607009,bronze,1912,Heavyweight
1276607009,gold,1906,Heavyweight
1276607009,gold,1906,Overall
1315095336,silver,1912,"Team, swedish system"
1275806340,silver,1920,Heavyweight
1275806340,silver,1924,Heavyweight
1306018350,silver,1920,"Team, swedish system"
1306018377,silver,1912,"Team, swedish system"
1286643115,gold,1948,Coxed pair
